registry  | {"level":"info","params":{"distSpecVersion":"1.1.1","GoVersion":"go1.24.4","Commit":"v2.1.5-100dfec1424c9aa2b38d26b1c90091bbc6fe5a24","ReleaseTag":"v2.1.5","BinaryType":"-events-imagetrust-lint-metrics-mgmt-profile-scrub-search-sync-ui-userprefs","Storage":{"RootDirectory":"/var/lib/zot","Dedupe":true,"RemoteCache":false,"GC":true,"Commit":false,"GCDelay":3600000000000,"GCInterval":3600000000000,"Retention":{"DryRun":false,"Delay":0,"Policies":null},"StorageDriver":null,"CacheDriver":null,"SubPaths":null},"HTTP":{"Address":"0.0.0.0","ExternalURL":"https://registry.smigula.io","Port":"5000","AllowOrigin":"","TLS":null,"Auth":{"FailDelay":5,"HTPasswd":{"Path":"/etc/zot/htpasswd"},"LDAP":null,"Bearer":null,"OpenID":{"Providers":{"oidc":{"Name":"","ClientID":"CCQHiOCoO3922YxXn4zCKADuJPYafy5u8EAw34gg","ClientSecret":"******","KeyPath":"","Issuer":"https://auth.smigula.io","Scopes":["openid","profile","email","groups"]}}},"APIKey":true,"SessionKeysFile":""},"AccessControl":null,"Realm":"","Ratelimit":null,"Compat":null},"Log":{"Level":"info","Output":"","Audit":""},"Extensions":{"Search":{"Enable":true,"CVE":null},"Sync":{"Enable":true,"CredentialsFile":"/etc/zot/credentials.yaml","DownloadDir":"","Registries":[{"URLs":["https://registry-1.docker.io"],"PollInterval":0,"Content":[{"Prefix":"**","Tags":null,"Destination":"/docker","StripPrefix":false}],"TLSVerify":true,"OnDemand":true,"CertDir":"","MaxRetries":3,"RetryDelay":300000000000,"OnlySigned":null,"CredentialHelper":"","PreserveDigest":false},{"URLs":["https://ghcr.io"],"PollInterval":0,"Content":[{"Prefix":"**","Tags":null,"Destination":"/ghcr","StripPrefix":false}],"TLSVerify":true,"OnDemand":true,"CertDir":"","MaxRetries":3,"RetryDelay":300000000000,"OnlySigned":null,"CredentialHelper":"","PreserveDigest":false},{"URLs":["https://quay.io"],"PollInterval":0,"Content":[{"Prefix":"**","Tags":null,"Destination":"/quay","StripPrefix":false}],"TLSVerify":true,"OnDemand":true,"CertDir":"","MaxRetries":null,"RetryDelay":null,"OnlySigned":null,"CredentialHelper":"","PreserveDigest":false},{"URLs":["https://registry.k8s.io"],"PollInterval":0,"Content":[{"Prefix":"**","Tags":null,"Destination":"/k8s","StripPrefix":false}],"TLSVerify":true,"OnDemand":true,"CertDir":"","MaxRetries":null,"RetryDelay":null,"OnlySigned":null,"CredentialHelper":"","PreserveDigest":false},{"URLs":["https://gcr.io"],"PollInterval":0,"Content":[{"Prefix":"**","Tags":null,"Destination":"/gcr","StripPrefix":false}],"TLSVerify":true,"OnDemand":true,"CertDir":"","MaxRetries":null,"RetryDelay":null,"OnlySigned":null,"CredentialHelper":"","PreserveDigest":false}]},"Metrics":{"Enable":true,"Prometheus":{"Path":"/metrics"}},"Scrub":{"Enable":true,"Interval":86400000000000},"Lint":null,"UI":{"Enable":true},"Mgmt":null,"APIKey":null,"Trust":null,"Events":null},"scheduler":null,"cluster":null},"goroutine":1,"caller":"zotregistry.dev/zot/pkg/api/controller.go:252","time":"2025-07-25T01:52:14.618178105Z","message":"configuration settings"}
registry  | {"level":"info","cpus":4,"max. open files":1048576,"listen backlog":"4096","max. inotify watches":"2147483647","goroutine":1,"caller":"zotregistry.dev/zot/pkg/api/runtime.go:34","time":"2025-07-25T01:52:14.618289459Z","message":"runtime params"}
registry  | {"level":"info","goroutine":1,"caller":"zotregistry.dev/zot/pkg/extensions/extension_events.go:16","time":"2025-07-25T01:52:14.618332194Z","message":"events disabled in configuration"}
registry  | {"level":"info","component":"metadb","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:29","time":"2025-07-25T01:52:14.694513589Z","message":"parsing storage and initializing"}
registry  | {"level":"info","total":20,"progress":0,"current-repo":"docker/alpine","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:57","time":"2025-07-25T01:52:14.697035802Z","message":"parsing next repo 'docker/alpine'"}
registry  | {"level":"info","total":20,"progress":1,"current-repo":"docker/amir20/dozzle","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:57","time":"2025-07-25T01:52:14.697100346Z","message":"parsing next repo 'docker/amir20/dozzle'"}
registry  | {"level":"info","total":20,"progress":2,"current-repo":"docker/caddy","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:57","time":"2025-07-25T01:52:14.697116986Z","message":"parsing next repo 'docker/caddy'"}
registry  | {"level":"info","total":20,"progress":3,"current-repo":"docker/grafana/alloy","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:57","time":"2025-07-25T01:52:14.697132666Z","message":"parsing next repo 'docker/grafana/alloy'"}
registry  | {"level":"info","total":20,"progress":4,"current-repo":"docker/grafana/grafana","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:57","time":"2025-07-25T01:52:14.697146384Z","message":"parsing next repo 'docker/grafana/grafana'"}
registry  | {"level":"info","total":20,"progress":5,"current-repo":"docker/grafana/loki","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:57","time":"2025-07-25T01:52:14.697160459Z","message":"parsing next repo 'docker/grafana/loki'"}
registry  | {"level":"info","total":20,"progress":6,"current-repo":"docker/grafana/tempo","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:57","time":"2025-07-25T01:52:14.697180558Z","message":"parsing next repo 'docker/grafana/tempo'"}
registry  | {"level":"info","total":20,"progress":7,"current-repo":"docker/jaegertracing/all-in-one","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:57","time":"2025-07-25T01:52:14.697195995Z","message":"parsing next repo 'docker/jaegertracing/all-in-one'"}
registry  | {"level":"info","total":20,"progress":8,"current-repo":"docker/library/postgres","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:57","time":"2025-07-25T01:52:14.697212481Z","message":"parsing next repo 'docker/library/postgres'"}
registry  | {"level":"info","total":20,"progress":9,"current-repo":"docker/library/redis","goroutine":1,"caller":"zotregistry.dev/zot/pkg/meta/parse.go:57","time":"2025-07-25T01:52:14.697225955Z","message":"parsing next repo 'docker/library/redis'"}
